id	model	vars	class	
Concrete_WAll01_broken	Concrete_WALL01_broken.nif
Concrete_wall02_broken	Concrete_WALL02_broken.nif
Concrete_wall03_broken	Concrete_WALL03_broken.nif
Concrete_wall_corner01	Concrete_wall_corner01.nif
Concrete_Column01_broken	Column01_broken.nif
Concrete_Column02_broken	Column02_broken.nif
Concrete_Column03_broken	Column03_broken.nif
Concrete_Column04_broken	Column04_broken.nif
Concrete_Column05_broken	Column05_broken.nif
Concrete_Column06_broken	Column06_broken.nif
Concrete_Column07_broken	Column07_broken.nif
Concrete_Column08_broken	Column08_broken.nif
Concrete_Column09_broken	Column09_broken.nif
Column04_broken_Jungle	Column04_broken_Jungle.nif
Column05_broken_Jungle	Column05_broken_Jungle.nif
Column06_broken_Jungle	Column06_broken_Jungle.nif
Column08_broken_Jungle	Column08_broken_Jungle.nif
