0	GENERIC	0	GENERIC	100	1	1										
10	PVP GENERIC	10	PVP GENERIC	100	1	1										
20	Common Boss	20	Common Hard Boss	100	1	1										
30	Common Dungeon	30	Common Dungeon	100	1	1	100									
30	Common Dungeon	30	Common Dungeon	50	1	2		100	20	5	2					
40	PvP Rewards	40	PvP Rewards	100	1	1										
50	Safari - Queen	50	Safari - Queen	100	1	1		100								
50	Safari - Queen	50	Safari - Queen	25	1	1			50	10						
50	Safari - Queen	290	Common Low Boss	100	1	2										
60	Safari - Mech 0	60	Safari - Mech 0	100	1	1		100								
60	Safari - Mech 0	60	Safari - Mech 0	25	1	1			50	10						
60	Safari - Mech 0	290	Common Low Boss	100	1	2										
70	Safari - Jack	70	Safari - Jack	100	1	1		100								
70	Safari - Jack	70	Safari - Jack	25	1	1			50	50						
70	Safari - Jack	0	GENERIC	50	1	1										
70	Safari - Jack	290	Common Low Boss	100	1	1										
80	Safari - Bill	80	Safari - Bill	100	1	1			100							
80	Safari - Bill	80	Safari - Bill	25	1	1				100						
80	Safari - Bill	290	Common Low Boss	100	1	1										
90	Safari - Bill Hard	90	Safari - Bill Hard	10	1	1	15	0	0					
90	Safari - Bill Hard	90	Safari - Bill Hard	5	1	1	15	0	0					
90	Safari - Bill Hard	20	Common Hard Boss	100	1	1					
90	Safari - Bill Hard	0	GENERIC	50	1	1										
90	Safari - Bill Hard	112	Safari - Bill Hard Mythic	10	1	1	100	0	0
90	Safari - Bill Hard	121	All Mythics Pool	3	1	1	100	0	0
100	DTB - Cages	100	DTB - Cages	100	1	1		100								
100	DTB - Cages	100	DTB - Cages	25	1	1			100							
100	DTB - Cages	0	GENERIC	100	1	1										
110	DTB - Adam	110	DTB - Adam	100	1	1			100							
110	DTB - Adam	110	DTB - Adam	25	1	1				100						
110	DTB - Adam	290	Common Low Boss	100	1	1										
120	DTB - Frank	120	DTB - Frank	100	1	1			100							
120	DTB - Frank	120	DTB - Frank	25	1	1				100						
120	DTB - Frank	290	Common Low Boss	100	1	1										
130	BSA - Horror	130	BSA - Horror	100	1	1		100	50							
130	BSA - Horror	130	BSA - Horror	20	1	1				50						
130	BSA - Horror	290	Common Low Boss	100	1	1										
140	BSA - Yamu	140	BSA - Yamu	100	1	1		100	50							
140	BSA - Yamu	140	BSA - Yamu	20	1	1				50						
140	BSA - Yamu	290	Common Low Boss	100	1	1										
150	BSA - Champions	150	BSA - Champions	100	1	1			100							
150	BSA - Champions	150	BSA - Champions	25	1	1				100						
150	BSA - Champions	40	PvP Rewards	25	1	1										
150	BSA - Champions	290	Common Low Boss	100	1	1										
160	ROM - HF1337	160	ROM - HF1337	100	1	1			100							
160	ROM - HF1337	20	Common Hard Boss	20	1	1										
160	ROM - HF1337	0	GENERIC	100	1	1										
160	ROM - HF1337	160	ROM - HF1337	25	1	1				50	10					
170	ROM - Cannon	170	ROM - Cannon	100	1	1			100							
170	ROM - Cannon	170	ROM - Cannon	25	1	1				50	10					
170	ROM - Cannon	0	GENERIC	100	1	2										
180	Kharum - Village	180	Kharum - Village	100	1	1		100								
180	Kharum - Village	180	Kharum - Village	50	1	1			50	10	2					
190	Kharum - Retaliate	190	Kharum - Retaliate	100	1	1		100								
190	Kharum - Retaliate	190	Kharum - Retaliate	50	1	1			50	10	2					
200	Kharum - Device	200	Kharum - Device	100	1	1		100								
200	Kharum - Device	200	Kharum - Device	50	1	1			50	10	2					
210	Kharum - Ulf	210	Kharum - Ulf	100	1	1					100					
210	Kharum - Ulf	20	Common Hard Boss	100	1	1										
210	Kharum - Ulf	0	GENERIC	50	1	2										
220	JY 3min Reward	220	JY 3min Reward	100	1	1		100								
220	JY 3min Reward	220	JY 3min Reward	25	1	1	0	100	20	5	0					
230	JY 3rd Side	230	JY 3rd Side	100	1	1		100								
230	JY 3rd Side	230	JY 3rd Side	25	1	1		100	20	5						
240	JY Gorgar	240	JY Gorgar	100	1	1			100							
240	JY Gorgar	240	JY Gorgar	25	1	1				50	10					
250	JY Gorgar Hard	250	JY Gorgar Hard	10	1	1	15	0	0					
250	JY Gorgar Hard	250	JY Gorgar Hard	5	1	1	15	0	0						
250	JY Gorgar Hard	113	JY Gorgar Hard Mythic	10	1	1	100	0	0
250	JY Gorgar Hard	121	All Mythics Pool	3	1	1	100	0	0
260	JY Ditz Left Side Hard	260	JY Ditz Left Side Hard	10	1	1	15	0	0					
260	JY Ditz Left Side Hard	260	JY Ditz Left Side Hard	5	1	1	15	0	0					
260	JY Ditz Left Side Hard	20	Common Hard Boss	50	1	1				50	10					
260	JY Ditz Left Side Hard	114	JY Ditz Left Side Hard Mythic	10	1	1	100	0	0
260	JY Ditz Left Side Hard	121	All Mythics Pool	3	1	1	100	0	0
270	JY Ditz	270	JY Ditz	100	1	1				100						
270	JY Ditz	270	JY Ditz	25	1	1					100					
