sid	text:fr
	
RenegadeManipulator.abilities.EnrageAbi.effect.name	Enrager
RenegadeManipulator.abilities.EnrageAbi.effect.text	Les statistiques de cette unité sont augmentées par un manipulateur rebelle allié.
RenegadeDominator.abilities.DimensionChainAbi.effect.effect.name	Chaîne dimensionnelle
RenegadeDominator.abilities.DimensionChainAbi.effect.effect.text	Cette unité est prise dans une chaîne dimensionnelle et ne peut plus bouger.
RenegadeHarvester.abilities.EnsnareAbi.projectile.effect.name	Filet de chasseur
RenegadeHarvester.abilities.EnsnareAbi.projectile.effect.text	Cette unité est prise dans un filet de chasseur et ne peut pas agir.
BreedAction.descr	Le modificateur invoque 3 éclosions à l’endroit sélectionné. Elles attaqueront tout ennemi proche automatiquement.
DominatorDimensionChainAction.descr	Tous les ennemis du secteur sélectionné sont pris dans une stase dimensionnelle pendant [stat:dimension_chain_duration] secondes. Pendant qu’ils sont pris sous la stase, les ennemis sont paralysés et subissent [stat:dimension_chain_dmgbonus]% de dégâts en plus de toutes les sources.
E_bt_shield.name	Défense spéciale
E_bt_shield.text	Cette unité bénéficie d’une aptitude défensive spéciale.
E_bt_weapon.name	Attaque spéciale
E_bt_weapon.text	Cette unité bénéficie d’une aptitude offensive spéciale.
