sid	text:fr
	
tip	ASTUCE 
waiting_for_players	En attente de joueur(s)
lobby_error_gameisinprogress	La partie que vous tentez de rejoindre est en cours.
game_is_playing	(En cours)
update_found	NOUVELLE MISE À JOUR DISPONIBLE !
update	MISE À JOUR !
aniso_slider	Anisotropique
crash	WorldShift a rencontré un problème !
beta_welcome1	Bienvenue dans la version pré-beta de WorldShift !
beta_welcome2	Pour plus d’informations ou donner votre avis, veuillez visiter
beta_welcome3	http://forums.blackseastudios.com
	
game_news	ACTU DU JEU
delete_news	EFFACER
	
sounds_enabled	Sons activés
	
online_players	Joueurs en ligne : [#]
	
leader_is_dead_title	Votre chef de campagne est mort !
leader_is_dead_text	Les autres joueurs peuvent renaître en sélectionnant leur chef de campagne et en faisant un clic droit sur le bouton Revivre situé à l’endroit où est mort le chef de campagne.
	
	
buddylist_status_playing_full	En jeu dans [#]
	
	
dmmeters_ttl	Témoins de Combat à mort
dmmeters_stl	(joueurs<color = 52,157,255> en préparation </>et<color = 183,94,216> en jeu</>)
dmmeters_rnd	Aléatoire
dmmeters_arn	Arrangé
dmmeters_src	Recherche en cours
dm_lfg	RECHERCHE DE PARTIES
dm_match_att	Matches tentés
dm_players	Joueurs en attente de match
dm_team1	ÉQUIPE 1
dm_team2	ÉQUIPE 2
dm_search	Recherche en cours...
start_game_tip_disabled	La partie ne peut pas commencer tant que tous les joueurs n’ont pas appuyé sur leur bouton ‘Prêt’.
	
screen resolution	RÉSOLUTION D’ÉCRAN
	
cdkey_validation	VALIDATION DE CLÉ DE CD
ws_update	MISE À JOUR WORLDSHIFT
downloading	Téléchargement en cours
	
location_unlocked	Nouveau lieu spécial débloqué !
	
chat_channel_int_form	International #[#]
chat_channel_loc_form	Local #[#]
chat_channel_int_short	International
chat_channel_loc_short	Local
