sid	text:de
	
RenegadeManipulator.abilities.EnrageAbi.effect.name	Wut
RenegadeManipulator.abilities.EnrageAbi.effect.text	Die Werte dieser Einheit werden von einem verbündeten Abtrünnigen-Manipulator verbessert.
RenegadeDominator.abilities.DimensionChainAbi.effect.effect.name	Dimensionssperre
RenegadeDominator.abilities.DimensionChainAbi.effect.effect.text	Diese Einheit ist in einer Dimensionssperre gefangen und kann sich nicht bewegen.
RenegadeHarvester.abilities.EnsnareAbi.projectile.effect.name	Jagdnetz
RenegadeHarvester.abilities.EnsnareAbi.projectile.effect.text	Diese Einheit ist in einem Jagdnetz gefangen und kann nichts tun.
BreedAction.descr	Der Wandler ruft eine Brut mit 3 Jungen ins ausgewählte Gebiet. Sie greifen automatisch Feinde in der Nähe an.
DominatorDimensionChainAction.descr	Alle Feinde im ausgewählten Gebiet werden [stat:dimension_chain_duration] Sekunden lang in einer Dimensionsstarre gefangen. Im Starrezustand sind Feinde betäubt und erleiden [stat:dimension_chain_dmgbonus] % mehr Schaden jeglicher Art.
E_bt_shield.name	Spezialverteidigung
E_bt_shield.text	Dieser Einheit wurde eine Spezialverteidigungsfähigkeit verliehen.
E_bt_weapon.name	Spezialangriff
E_bt_weapon.text	Dieser Einheit wurde eine Spezialangriffsfähigkeit verliehen.
