sid	text:de
	
version conflict	VERSIONSKONFLIKT
differs from the server	Die installierte Version unterscheidet sich von der Server-Version.
	
	
//// Victory/Defeat screen	
stats_caps	STATISTIKEN
items_taken_caps	ERLANGTE GEGENSTÄNDE
chs_rewards_caps	WÄHLEN SIE IHRE BELOHNUNGEN
chs_reward_caps	WÄHLEN SIE IHRE BELOHNUNG
mis_complete_caps	MISSION ABGESCHLOSSEN
mis_failed_caps	MISSION GESCHEITERT
battle_points	Schlachtpunkte
drag_txt	Ziehen Sie alle gewünschten Elemente in Ihr Inventar.
battle_pts_tt_title	Schlachtpunkte
battle_pts_tt_text	Schlachtpunkte erhalten Sie als Belohnung für die Teilnahme an einem Deathmatch oder Gefecht. Ein Sieg bringt Ihnen zusätzliche Punkte ein. Mit Schlachtpunkten können Sie Gegenstände erwerben.<nl><nl>Die Summe Ihrer Schlachtpunkte wird hier angezeigt.
shards_tt_title	Xenoscherben
shards_tt_text	Aus jedem im Spiel erlangten Gegenstand können Sie unter Umständen eine Xenoscherbe beziehen. Die Wahrscheinlichkeit, an eine Xenoscherbe zu gelangen, ist bei selteneren Gegenständen höher.<nl><nl>Die Summe der Scherben, über die Sie verfügen, wird hier angezeigt.
chng_off_btn	Angebot ändern
skip_btn	Überspringen
buy_btn	Kaufen
items_shop	GEGENSTÄNDE KAUFEN
get_off_btn	Neues Angebot
lost_off_txt	Das Anbieten von Gegenständen ist kostenlos, wenn Sie gewonnen haben, kostet jedoch Schlachtpunkte, sollten Sie verlieren.
no_bpoints	Nicht genug Schlachtpunkte.
no_bpoints_ttl	Kauf fehlgeschlagen
buyfailed_ttl	Kauf fehlgeschlagen
buyfailed	Nicht genug Schlachtpunkte oder keine verfügbaren Plätze für Gegenstände.
inactive_spec	Inaktiv
chg_off_btn	Neue Auswahl
close_caps	SCHLIESSEN
continue_caps	WEITER
observe_caps	BEOBACHTEN
stats_btn_caps	STATISTIKEN
alert	Warnung
vic_close_items	Es befinden sich noch Gegenstände in der temporären Ablage. Möchten Sie wirklich fortfahren?
	
	
//// Lobby	
prac_caps	TRAINING
pvp_caps	DEATHMATCH
locations	KARTEN
chat btn lobby	CHAT
	
	
//// Settings	
effects_all	Alle
effects_med	Mittel
effects_low	Niedrig
effects_scale	Effekte
	
	
//// CD Key screen	
cdkey_invalidkey	UNGÜLTIGER CD-SCHLÜSSEL!
validate	VALIDIEREN
enter cdkey	CD-SCHLÜSSEL eingeben:
gs_invalidcdkey	Der eingegebene CD-Schlüssel ist ungültig. Die Fehlermeldung lautet: „[#]“.
gs_disconnect	Ihre Verbindung mit dem Online-Dienst wurde unterbrochen. Die Fehlermeldung lautet: „[#]“.
	
	
//// Login	
GSStatus_GetProfiles	Bezieht GameSpy-Profile
GSStatus_CreateProfile	Erstellt GameSpy-Profil
lan	LAN
internet	INTERNET
	
net_login	WorldShift-Anmeldung
net_enter_player_name	WorldShift-Spielername
net_enter_password	Passwort
net_newplayer	NEUER SPIELER
net_choosegsaccount	GameSpy-ID auswählen
net_enter_email	E-Mail-Adresse
net_newaccount	Neue GameSpy-ID
net_next	Weiter
net_error	Fehler bei der Anmeldung
net_helpchoosegsaccount	Geben Sie die erforderlichen Daten ein, wenn Sie bereits über eine GameSpy-ID verfügen, und klicken Sie auf „Weiter“, oder klicken Sie auf „Neue GameSpy-ID", um eine neue zu erstellen.
net_creategsaccount	Neue GameSpy-ID erstellen
